strain_name,n_samples,total_thc,total_cbd,dominant
Platinum Blue Dream,10,25.446,0.0625,beta_caryophyllene
CBX - Grape Gasby - Manicured Flower,10,29.4151,0.0838,d_limonene
Pave Bud,10,30.3304,0.0955,d_limonene
Georgia Pie,10,28.0484,0.0717,d_limonene
FLR050624SPM_Supermon,10,32.4347,0.0866,d_limonene
Oreoz x Runtz Bud,10,28.8537,0.087,d_limonene
R*ntz,10,26.329335,0.05784,d_limonene
Papaya Bomb,9,32.5578,1.0156,beta_caryophyllene
Jellyfish,8,0.7648900000000001,17.14937,beta_myrcene
Lemonz,7,11.02,6.1,beta_myrcene
4n Trident CBD (4TDT) J49205,6,6.13,11.35,beta_myrcene
Love and Laughter,6,0.5937,13.9502,beta_myrcene
Royal Blueberry,6,10.2115,11.7036,beta_myrcene
Royal Blueberry 1/4oz,6,12.6816,14.64695,beta_myrcene
Strawberry G,6,6.7001,14.5836,beta_myrcene
Rose Queen 1/4oz.,5,0.9548,23.6169,beta_myrcene
Four Directions 1/4oz.,5,5.5057,6.9354,beta_myrcene
Tangelo Flow,4,9.587029999999999,13.217105,beta_caryophyllene
Bulk | Esensia | Pennywise,3,10.3538,12.7802,beta_myrcene
Banner Kush,3,7.25,10.34,beta_caryophyllene
Hog Wash Farms - Gas Pedal CBD 1:1,3,15.03,13.01,beta_myrcene
13.27.01,3,3.45,8.61,beta_myrcene
13.27.02,3,3.39,8.6,beta_myrcene
Harmony Rose 1/4oz,3,6.3484,7.7191,other
HFP401,3,8.13,10.6,beta_caryophyllene
13.27.03,3,3.24,3.29,beta_caryophyllene
13.27.04,3,1.81,6.59,beta_myrcene
13.27.06,3,2.4,7.52,beta_myrcene
Bohemian Chemist -  Hedonia,3,15.8,1.04,terpinolene
Mighty Quinn 9/23,3,5.61,8.57,beta_caryophyllene
Emerald CBDV 1/4oz.,3,0.4145,8.8818,beta_myrcene
08.S1.04,3,0.38,9.68,beta_myrcene
GSH100823GLB 3:1,3,5.1252,15.13,beta_myrcene
08.S1.03,3,0.38,10.07,beta_caryophyllene
08.S1.02,3,0.48,12.69,beta_myrcene
10.S3.87,3,0.309,8.16,beta_myrcene
13.27.07,3,4.04,8.58,beta_myrcene
First Frost CBD Dry Flower,3,1.0239,24.5392,beta_myrcene
08.S1.07,3,0.364,9.75,alpha_pinene
13.27.14,3,4.32,8.99,beta_myrcene
08.S1.06,3,6.76,9.54,beta_caryophyllene
13.27.11,3,2.37,6.83,beta_myrcene
13.27.17,3,2.98,8.33,beta_myrcene
13.27.10,3,3.24,7.96,beta_myrcene
08.S1.01,3,0.59,15.0,alpha_pinene
13.27.09,3,3.11,9.07,alpha_pinene
Love Laughter,3,0.5674,13.9679,beta_myrcene
Four Directions 1/4oz,3,10.7298,13.2742,beta_myrcene
08.S1.05,3,0.54,12.53,beta_myrcene
Rose Queen 1/4oz,3,0.7603,18.3283,beta_myrcene
13.27.12,3,0.215,5.8,beta_caryophyllene
Super High Life #02 (SHL) J48718,2,6.96,13.41,beta_myrcene
Super High Life #08 (SHL) J48724,2,10.4,17.2,beta_myrcene
Super High Life #09 (SHL) J48725,2,7.91,15.6,beta_myrcene
Super High Life #11 (SHL) J48727,2,19.57,3.15,beta_myrcene
Chemberry,2,0.8167,19.2249,beta_myrcene
Iran #03 (IRAN) J47780,2,0.279,5.34,terpinolene
Stoney Branch Farms - Godfather OG,2,0.74,17.4,beta_myrcene
Hemp Hop - Sun Run,2,5.35,9.89,beta_myrcene
Hemp Hop - Tropicolada,2,2.97,15.34,beta_myrcene
Horn Creek - Lifter,2,0.78,17.63,beta_myrcene
Horn Creek - Oregon Sweet Gum,2,0.93,23.55,beta_myrcene
Super High Life #10 (SHL) J48726,2,8.82,15.79,beta_myrcene
