strain_name,n_samples,pc1,pc2,dominant
TMC x J1 #105,11,-0.0055089132158070014,0.018401788752711434,beta_caryophyllene
Jetlato Crashers,11,-0.0448655222435173,0.07679789885449366,d_limonene
Dutch Treat,11,0.3914052511345279,-0.05556427640831843,terpinolene
Cultivation Z-Pie,11,-0.09901564789489128,-0.002912519958708347,d_limonene
Headband,11,-0.08636239749336701,-0.05509631922425724,beta_caryophyllene
Cultivation W OG,11,0.00752155694602946,0.158637093695765,beta_myrcene
Cheetah Piss,11,-0.06761441381825077,-0.06187491974188796,beta_caryophyllene
Gush Mints,11,-0.1553887075571518,-0.09182182946702774,d_limonene
BLUEBERRY YUM YUM,11,-0.18579622397629939,-0.07862632433575824,d_limonene
Caribbean Cookies,11,-0.030430627902380315,0.05505939514219586,beta_caryophyllene
Guava,11,-0.07348189895511636,-0.03335983686220335,beta_caryophyllene
Orangutan T,11,-0.08020192004327638,0.012502485286960921,d_limonene
Governmint Oasis,11,-0.12461955311555765,-0.07480790047366331,d_limonene
Super Runtz,11,-0.02715556412949271,0.10362340953043485,d_limonene
TMC x J1 #104,11,-0.09363026922497088,-0.11117933083597883,beta_caryophyllene
GHOST VAPOR OG,11,0.251850435463831,0.4087509653246517,beta_myrcene
TMC x J1 #103,11,-0.0958008082152294,-0.0824862339563255,beta_caryophyllene
SPLITZ,11,0.022179838554639987,0.16812859249029102,beta_myrcene
TMC x J1 #102,11,-0.07126812324118517,-0.09877774346353993,beta_caryophyllene
Gelato 33,11,-0.03143445968677357,0.056516125970520956,d_limonene
TMC x J1 #100,11,0.35909117043723093,-0.19598505172535743,terpinolene
FTP,11,-0.011446069377514174,0.12779467952256518,d_limonene
Purple Push Pop,10,-0.14172788116195828,-0.07251693681734965,d_limonene
Banana Cream,10,-0.11971799873281298,-0.05383919224127607,d_limonene
FLR050624SPM_Supermon,10,-0.02809208624261767,-0.0089438086433809,d_limonene
LA Runtz,10,-0.04510976009687471,0.03457902735940733,beta_caryophyllene
Lantz,10,-0.09104558157443969,-0.013420666296859016,d_limonene
Larry Bird,10,-0.12261621833805304,-0.03844693732980475,d_limonene
Cereal Milk,10,-0.0067734143424525,0.05171399376091782,beta_caryophyllene
CBX - Grape Gasby - Manicured Flower,10,-0.11451669224232829,0.018700267368036233,d_limonene
STAR-Berry Cough,10,0.00022346014196379785,0.14883202951606617,beta_myrcene
Gelatti,10,-0.11674144909417529,-0.11615474107111648,beta_caryophyllene
Oreoz x Runtz Bud,10,-0.11071215454683464,-0.002068832218239526,d_limonene
R*ntz,10,0.0176447651663054,0.10441632280170203,d_limonene
Pave Bud,10,-0.08183778942868367,-0.017155290543087995,d_limonene
Caffeine,10,-0.10013977338180154,-0.011903124362594508,d_limonene
Georgia Pie,10,-0.13514807456705172,-0.10720414602377512,d_limonene
Platinum Blue Dream,10,0.014641090787602703,-0.04860090856372298,beta_caryophyllene
Marathon,10,-0.028670441326285764,0.10102856195639273,d_limonene
